,Unnamed: 0,KIC,Porb,Class,PACF,hACF,P1min,P1max,P2min,P2max,h1min,h1max,h2min,h2max,Note,KID,BJD,Per,Type,Kmag,Teff,log(g),E(B-V),Crowd,T2/T1,q,F,r1+r2,esinw,ecosw,sini,ecc,porb_prot
1420,1420,8953426,5.332,sp,5.272,0.447,5.116,5.443,,,0.055,0.052,,,,8953426.0,54953.9555,5.33113,D,12.156,5987,4.351,0.07,0.018,0.82971,,,0.16278,-0.27,-0.45259,0.99459,0.5270082618896975,1.011380880121396
1422,1422,8957954,4.36,sp,4.393,0.788,4.253,4.339,4.739,4.763,0.026,0.084,0.084,0.075,,8957954.0,54967.30811,4.36004,D,13.96,5845,4.492,0.108,0.021,0.94139,,,0.15369,-0.00921,-0.02706,0.99765,0.028584396092973523,0.9924880491691328
1423,1423,8971432,0.624,sp,0.633,0.807,0.624,0.625,,,0.323,0.107,,,,8971432.0,55001.63498,0.62435,D,15.487,5057,4.479,0.136,0.23,0.64512,,,0.63845,-0.17399,-0.24407,0.98615,0.29973769365897246,0.985781990521327
1430,1430,8984706,10.135,sp,12.955,0.343,12.482,13.778,14.954,19.54,0.041,0.021,0.007,0.005,,8984706.0,54965.321,10.135,D,13.92,5642,4.098,0.156,0.07,0.83969,,,0.11282,0.16522,0.37488,1.00022,0.40967384929965933,0.7823234272481667
1431,1431,9001468,17.33,sp,7.295,1.233,7.274,7.441,,,0.173,0.128,,,,9001468.0,54975.7322,17.32764,D,15.2,4949,4.493,0.095,0.056,0.78478,,,0.09469,0.1677,0.04636,0.99631,0.17399005603769427,2.3755997258396158
1432,1432,9002237,4.35,sp,4.434,1.342,4.398,4.417,,,0.099,0.302,,,,9002237.0,54967.8007,4.35107,D,14.855,5772,4.598,0.106,0.015,1.0684,,,0.00488,-0.42289,-0.45445,0.99658,0.6207743185731832,0.9810554803788902
1434,1434,9005854,3.78,sp,3.719,1.479,,,,,,,,,,9005854.0,55010.04021,3.7802,D,15.569,5190,4.638,0.105,0.038,0.96222,,,0.14375,0.09382,-0.13339,0.81211,0.16307999417463812,1.0164022586716859
1437,1437,9020426,0.913,sp,0.899,0.778,0.901,0.903,0.913,0.915,0.075,0.106,0.059,0.101,,9020426.0,54965.4458,0.91336,D,14.55,5732,4.348,0.132,0.406,0.93176,,,0.46333,-0.0127,0.0106,1.0022,0.01654236984231703,1.0155728587319244
1444,1444,9029486,6.277,sp,6.968,0.91,6.776,6.899,7.149,7.208,0.174,0.057,0.117,0.078,,9029486.0,54965.32959,6.27716,D,13.63,5368,4.318,0.094,0.01,0.9522,,,0.08916,-0.01603,-0.01122,1.00078,0.019566535206826986,0.9008323765786452
1455,1455,9084778,1.184,sp,1.185,0.821,,,,,,,,,,9084778.0,55002.5573,0.59225,D,15.653,4787,4.496,0.108,0.277,0.44478,,,0.1204,0.32796,0.12954,0.99671,0.3526164675678094,0.9991561181434598
1459,1459,9098590,2.244,sp,2.227,1.119,2.211,2.216,,,0.086,0.104,,,,9098590.0,54966.7316,2.24366,SD,14.965,5846,4.536,0.144,0.031,0.54046,,,0.40224,0.00828,-0.01233,0.99289,0.014852181657924872,1.0076335877862597
1460,1460,9098810,8.258,sp,7.703,1.308,,,,,,,,,,9098810.0,54972.7618,8.25837,D,13.448,5126,4.263,0.084,0.022,0.93119,,,0.08101,0.02189,-0.14736,1.00135,0.14897698379279936,1.0720498507075165
1469,1469,9137992,1.47,sp,1.471,1.196,1.467,1.475,,,0.097,0.073,,,,9137992.0,54965.54517,2.94213,D,12.981,5471,4.239,0.077,0.057,0.90865,,,0.38346,-0.01196,-0.18258,0.99823,0.18297130376099963,0.9993201903467028
1472,1472,9143254,2.275,sp,2.268,1.243,2.265,2.271,,,0.205,0.384,,,,9143254.0,55008.894,2.27505,D,15.452,5653,4.459,0.134,0.058,0.8729,,,0.08427,-0.3251,-0.43343,0.99711,0.5418040004466559,1.0030864197530864
1491,1491,9210828,1.656,sp,1.655,1.266,1.642,1.657,,,0.261,0.107,,,,9210828.0,54977.0053,1.65627,D,13.221,4893,4.421,0.055,0.709,0.62032,,,0.25455,-0.08299,-0.03037,0.97945,0.08837237690590878,1.0006042296072506
1495,1495,9221398,13.788,sp,13.772,1.298,,,,,,,,,,9221398.0,54955.9782,13.78739,D,12.14,6420,4.209,0.093,0.004,0.69157,,,0.07839,-0.21335,0.42639,0.99682,0.47678785072608554,1.001161777519605
1502,1502,9266285,5.614,sp,33.613,0.733,32.65,33.653,,,0.067,0.106,,,,9266285.0,54965.57642,5.61381,D,14.072,4184,4.448,0.04,0.026,0.70703,,,0.1419,0.07794,0.01551,1.00052,0.07946825592650188,0.1670187129979472
1510,1510,9284741,20.729,sp,22.17,0.515,,,,,,,,,,9284741.0,54974.2299,20.73035,D,14.807,5085,4.277,0.123,0.042,0.93434,,,0.02303,-0.10778,0.3614,1.00689,0.37712927279647757,0.9350022552999547
1512,1512,9288786,1.744,sp,1.982,1.213,,,,,,,,,,9288786.0,54967.5072,1.74492,D,15.702,4197,4.574,0.068,0.095,0.56088,,,0.18377,0.01021,0.01374,0.99464,0.017118168710466668,0.8799192734611504
1514,1514,9291629,20.686,sp,20.679,1.165,,,,,,,,,,9291629.0,54966.8699,20.70393,D,13.957,4629,3.105,0.194,0.074,0.82151,,,0.16898,-0.20068,0.4058,0.99641,0.45270973305198553,1.0003385076647808
1517,1517,9328852,0.646,sp,0.654,0.741,0.645,0.646,,,0.096,0.318,,,,9328852.0,55008.15865,0.64581,D,15.33,4338,4.486,0.069,0.647,0.3605,,,0.44401,0.3134,0.01271,0.95896,0.31365762241654516,0.9877675840978594
1523,1523,9346655,0.872,sp,0.879,0.862,0.871,0.872,,,0.277,0.114,,,,9346655.0,54965.1234,0.87153,D,14.299,4183,4.556,0.04,0.047,1.05975,,,0.06857,-0.55764,-0.3513,1.0071,0.6590706028947126,0.9920364050056882
1525,1525,9353182,10.476,sp,11.77,0.496,10.494,10.712,11.387,12.536,0.027,0.015,0.017,0.018,,9353182.0,54959.05505,10.4777,D,12.421,5874,4.274,0.082,0.019,0.73671,,,0.12185,0.09439,0.04205,0.99353,0.10333283408481546,0.8900594732370435
1538,1538,9411943,3.844,sp,3.862,1.448,3.828,3.878,,,0.175,0.281,,,,9411943.0,54967.0881,3.84373,D,14.738,5656,4.293,0.15,0.249,0.84713,,,0.10959,0.0808,-0.3869,0.99688,0.39524707462548037,0.9953392024857586
1539,1539,9412462,10.187,sp,9.972,0.773,9.801,10.254,10.375,10.544,0.065,0.041,0.03,0.079,,9412462.0,54965.53033,10.18675,D,14.846,5350,4.44,0.124,0.589,0.83513,,,0.11886,-0.39079,-0.43183,1.00023,0.5824036169187139,1.0215603690332933
1547,1547,9451127,5.117,sp,5.19,1.455,,,,,,,,,,9451127.0,55003.40713,5.11709,D,15.764,5881,4.573,0.134,0.04,0.88231,,,0.2028,0.20434,-0.3933,0.9758,0.4432152136377992,0.9859344894026975
1549,1549,9468296,5.749,sp,5.967,1.48,5.837,6.036,6.258,,0.028,0.063,0.186,,,9468296.0,54999.77761,5.7501,D,15.311,4814,4.322,0.119,0.309,1.04868,,,0.21903,-0.57756,-0.41762,0.99021,0.71272857245939,0.9634657281716106
1555,1555,9474485,1.025,sp,1.022,0.762,,,,,,,,,,9474485.0,54965.2928,1.0252,D,14.884,4469,4.309,0.086,0.225,0.93832,,,0.3315,-0.12564,0.00533,1.00517,0.12575300592828786,1.0029354207436398
1567,1567,9509207,14.2,sp,24.132,1.031,23.85,24.483,,,0.16,0.306,,,,9509207.0,54997.14594,14.19912,D,13.135,,,,0.001,0.95151,,,0.08831,0.06752,0.31215,0.99876,0.31936902307518805,0.5884303000165755
1572,1572,9520700,4.274,sp,4.25,1.248,,,,,,,,,,9520700.0,55000.81846,4.27442,D,14.902,5595,4.415,0.127,0.207,0.94305,,,0.12554,-0.0591,0.3885,1.0003,0.3929695408043733,1.0056470588235293
1573,1573,9528420,4.708,sp,4.679,1.339,4.564,4.694,,,0.09,0.075,,,,9528420.0,55004.86043,4.714,D,14.417,5982,4.398,0.134,0.03,0.72598,,,0.16395,-0.44658,-0.46445,0.98232,0.6443194075146269,1.0061979055353707
1576,1576,9529856,37.482,sp,21.476,0.775,19.135,21.775,,,0.016,0.031,0.061,0.061,,9529856.0,54988.8409,37.4823,D,13.46,6176,4.155,0.133,0.004,0.35086,,,0.15177,-0.21939,-0.34418,0.99692,0.4081566421118245,1.7452970758055504
1583,1583,9540450,2.155,sp,2.125,0.225,2.125,2.137,2.151,2.178,0.084,0.037,0.008,0.013,,9540450.0,55003.38509,2.15471,D,14.146,5556,4.397,0.111,0.013,0.59705,,,0.25458,-0.01657,-0.00157,0.99308,0.016644212207250906,1.0141176470588233
1586,1586,9551200,0.712,sp,0.715,1.314,0.711,0.712,,,0.218,0.338,,,,9551200.0,54964.9135,0.7118,D,15.216,5059,4.297,0.149,0.112,1.0238,,,-0.00124,-0.72093,0.3982,1.0041,0.8235917100724119,0.9958041958041958
1588,1588,9569866,1.48,sp,1.471,1.13,1.468,1.47,1.476,1.486,0.197,0.064,0.045,0.048,,9569866.0,55003.24089,1.48028,D,13.983,5110,4.476,0.073,0.068,0.43433,,,0.3202,-0.05046,0.16074,0.9857,0.16847420930219556,1.0061182868796736
1590,1590,9576197,7.964,sp,9.113,1.499,9.028,9.094,,,0.173,0.418,,,,9576197.0,55009.00849,7.96253,D,14.641,5082,4.551,0.085,0.015,1.05036,,,-0.00993,-0.65173,-0.35287,0.99634,0.7411269997780408,0.8739163831888512
1592,1592,9579499,7.947,sp,16.061,1.405,,,,,,,,,,9579499.0,55001.96952,7.95652,D,15.791,4705,4.707,0.085,0.117,0.80498,,,0.04977,0.07566,-0.37969,0.99951,0.38715491950897385,0.49480107091712844
1601,1601,9596187,0.953,sp,0.899,0.184,,,,,,,,,,9596187.0,55002.81659,0.95279,D,14.538,5929,4.406,0.141,0.528,0.47573,,,0.32097,-0.05487,0.14613,0.99658,0.15609194021473372,1.0600667408231368
1602,1602,9597095,2.746,sp,2.738,1.006,2.723,2.758,3.098,3.11,0.05,0.032,0.026,0.015,,9597095.0,55003.14866,2.745,D,15.945,,,,0.262,0.62231,,,0.20347,0.02798,0.0347,0.97771,0.044575446155927595,1.0029218407596785
1607,1607,9632895,27.322,sp,20.577,0.775,,,,,,,,,,9632895.0,54965.42188,27.32029,D,13.552,5425,4.803,0.055,0.083,0.80776,,,0.04822,0.41744,-0.34599,0.99872,0.5421856081638464,1.327793167128347
1609,1609,9635529,4.704,sp,4.598,0.321,4.675,4.699,,,0.022,0.067,0.013,0.013,,9635529.0,55000.18853,4.70367,D,12.23,6347,4.33,0.077,0.082,0.86537,,,0.17885,-0.06144,0.02854,0.92559,0.0677451489038145,1.023053501522401
1612,1612,9637299,1.882,sp,1.9,1.132,1.864,1.883,2.002,2.006,0.165,0.069,0.021,0.067,,9637299.0,55003.38547,1.88253,D,13.68,6061,4.213,0.115,0.035,0.68592,,,0.26512,0.03727,-0.00439,0.99396,0.037527656468263504,0.9905263157894737
1618,1618,9641031,2.178,sp,2.166,1.218,2.156,2.177,,,0.191,0.068,,,,9641031.0,55002.05624,2.17817,D,9.177,5867,4.295,0.022,0.001,0.69274,,,0.24931,0.00532,-0.00746,0.99441,0.009162641540516577,1.005540166204986
1622,1622,9649222,5.919,sp,6.764,1.442,6.727,6.771,,,0.097,0.313,,,,9649222.0,55001.42864,5.9182,D,15.678,5691,4.585,0.145,0.038,0.62409,,,0.11344,0.00666,0.08628,0.99177,0.08653666275053597,0.8750739207569485
1626,1626,9655129,2.744,sp,2.738,1.515,2.683,2.691,2.75,2.758,0.06,0.125,0.371,0.12,,9655129.0,54994.20268,2.74482,D,13.805,5140,4.431,0.08,0.035,0.7782,,,-0.0112,-0.36985,0.42559,1.00507,0.5638402882022533,1.002191380569759
1633,1633,9664215,3.319,sp,3.31,1.633,,,,,,,,,,9664215.0,55001.45542,3.32256,D,15.101,5543,4.693,0.121,0.05,0.54691,,,0.16626,-0.40866,-0.36282,0.98453,0.5464808761521303,1.0027190332326283
1638,1638,9674608,2.972,sp,3.024,1.341,3.017,3.052,,,0.151,0.235,,,,9674608.0,54992.98332,2.97016,D,15.772,4216,4.442,0.087,0.152,0.98151,,,0.31279,-0.35881,-0.42827,1.00033,0.5587126354397223,0.9828042328042328
1642,1642,9705459,2.487,sp,2.82,1.565,2.79,2.809,,,0.198,0.114,,,,9705459.0,54964.629,4.97349,D,15.418,5658,4.359,0.147,0.217,0.79243,,,0.06404,-0.1739,-0.46768,0.99977,0.4989647205965568,0.8819148936170214
1644,1644,9711751,1.712,sp,1.676,1.218,,,,,,,,,,9711751.0,55003.01219,1.7116,D,13.788,6429,4.271,0.139,0.015,0.8813,,,0.30936,0.14059,0.00365,0.98288,0.1406373727001468,1.0214797136038187
1646,1646,9714358,6.474,sp,7.683,1.198,7.416,7.713,7.958,8.254,0.087,0.05,0.034,0.04,,9714358.0,54999.80524,6.4794,D,14.998,4825,4.548,0.089,0.595,0.67642,,,0.07293,-0.07611,-0.42508,0.99805,0.43183994546590987,0.8426395939086295
1652,1652,9724993,7.863,sp,11.341,1.239,11.036,11.529,,,0.076,0.152,,,,9724993.0,54964.6814,7.86526,D,12.524,5509,3.918,0.104,0.406,0.90282,,,0.11373,0.24257,-0.40905,1.00088,0.47556504013646755,0.693325103606384
1656,1656,9761199,1.384,sp,1.349,0.224,,,,,,,,,,9761199.0,54964.7355,1.38242,D,15.692,4060,4.404,0.068,0.303,1.01866,,,0.36858,-0.29896,-0.49586,0.99278,0.5790114171585912,1.0259451445515195
1659,1659,9762519,7.515,sp,7.847,1.176,,,,,,,,,,9762519.0,54971.08441,7.51533,D,13.711,5435,4.51,0.079,0.079,0.68912,,,0.07597,0.07566,-0.48267,0.99822,0.48856398199212353,0.957690837262648
1661,1661,9767437,0.713,sp,0.715,1.069,,,,,,,,,,9767437.0,55002.92421,0.71255,D,12.842,4770,4.464,0.042,0.023,0.62937,,,0.53593,-0.4389,0.44796,0.94338,0.627137442352153,0.9972027972027973
1664,1664,9774400,10.818,sp,10.666,0.794,,,,,,,,,,9774400.0,55002.6567,10.82251,D,13.392,5684,4.448,0.088,0.017,0.68516,,,0.26963,0.02378,0.00048,0.98886,0.02378484391371951,1.0142508906806675
1680,1680,9821078,8.429,sp,9.849,1.102,9.774,10.112,,,0.219,0.113,,,,9821078.0,54965.29395,8.42971,D,14.117,4112,4.269,0.048,0.0,0.74037,,,0.09609,0.16169,-0.00886,0.99836,0.16193256528567687,0.8558229261853996
1694,1694,9839081,2.559,sp,2.575,1.569,,,,,,,,,,9839081.0,55002.75906,2.54465,D,14.752,5700,4.572,0.123,0.325,0.94427,,,0.24218,-0.53006,-0.54516,0.98876,0.7603703237239076,0.9937864077669902
1700,1700,9847239,28.508,sp,10.993,0.93,10.811,11.905,,,0.076,0.047,,,,9847239.0,54965.79297,28.50391,D,14.876,5883,4.563,0.142,0.458,0.89918,,,0.37005,-0.43256,0.02236,0.99425,0.4331375338157616,2.5932866369507868
1705,1705,9873869,4.995,sp,5.19,0.448,5.117,5.256,5.802,,0.01,0.008,0.051,,,9873869.0,55004.15527,4.995,D,13.038,5993,4.25,0.09,0.003,0.6671,,,0.13961,0.05373,0.02266,1.00864,0.05831285021331062,0.9624277456647399
1707,1707,9881258,4.057,sp,4.005,0.891,,,,,,,,,,9881258.0,54967.8692,4.05698,D,13.281,5845,4.409,0.086,0.014,0.95928,,,0.20578,0.03362,-0.02207,0.99102,0.04021677883669949,1.0129837702871411
1727,1727,9934208,9.058,sp,12.403,1.207,12.376,12.773,,,0.174,0.125,,,,9934208.0,54970.33472,9.05979,D,15.507,4258,4.622,0.056,0.001,0.68406,,,0.08699,0.05731,-0.09204,0.99525,0.10842415644126542,0.7303071837458679
1730,1730,9940565,4.279,sp,4.495,1.164,4.202,4.249,4.843,,0.043,0.087,0.218,,,9940565.0,54965.92572,4.27836,D,14.708,4593,4.637,0.058,0.02,0.80001,,,0.01398,-0.55642,0.47771,0.99527,0.7333553439499845,0.9519466073414905
1731,1731,9941387,27.66,sp,27.013,0.931,24.586,26.846,,,0.015,0.032,,,,9941387.0,54974.2532,27.65946,D,14.706,5150,4.626,0.084,0.08,0.78952,,,0.06723,0.4624,-0.01449,0.99659,0.4626269772721863,1.0239514307925812
1732,1732,9944201,0.722,sp,0.715,0.889,,,,,,,,,,9944201.0,55002.22648,0.72155,D,15.069,4737,4.385,0.094,0.016,0.79356,,,0.31616,-0.29591,0.3981,0.9849,0.49603058181930676,1.0097902097902098
1733,1733,9944421,7.095,sp,6.518,1.505,,,,,,,,,,9944421.0,54968.37305,7.09429,D,15.137,5304,4.633,0.103,0.068,0.76746,,,0.0818,0.02734,0.46704,0.9987,0.46783954215093876,1.0885240871432955
1735,1735,9945280,1.303,sp,1.287,1.459,1.284,1.286,1.305,1.308,0.091,0.183,0.234,0.106,,9945280.0,55002.563,1.3038,D,13.879,5536,4.058,0.123,0.213,0.61969,,,0.35284,-0.45775,0.49493,0.95344,0.6741593041707575,1.0124320124320125
1745,1745,9962595,11.374,sp,10.156,1.219,,,,,,,,,,9962595.0,54975.461,11.36792,D,14.585,5118,4.549,0.094,0.209,1.05507,,,0.14895,-0.05634,-0.53425,1.00083,0.5372124887788816,1.1199291059472234
1749,1749,9966115,8.947,sp,11.116,0.242,,,,,,,,,,9966115.0,54956.09991,8.94554,D,12.985,5973,4.354,0.095,0.056,0.67673,,,0.08379,-0.0475,0.29048,0.99388,0.294338037637,0.8048758546239654
1753,1753,9971475,5.357,sp,1.962,0.609,1.98,1.992,,,0.087,0.095,,,,9971475.0,55002.13651,5.35137,D,13.166,5561,3.814,0.146,0.025,0.7279,,,0.13449,0.08624,0.03147,0.99411,0.0918024972427221,2.7303771661569827
1764,1764,10019399,11.806,sp,11.525,0.977,10.912,12.045,,,0.113,0.04,,,,10019399.0,55001.46493,11.82796,D,12.829,,,,0.002,1.02032,,,0.07241,-0.40158,-0.53961,0.99827,0.6726406533209244,1.0243817787418654
1766,1766,10020423,7.448,sp,7.765,1.478,,,,,,,,,,10020423.0,54970.6992,7.44647,D,15.178,5673,4.682,0.126,0.023,1.06781,,,0.05217,-0.69735,-0.36878,0.99817,0.7888572183228091,0.9591757887958791
1772,1772,10031409,4.144,sp,4.046,0.082,4.046,4.216,,,0.014,0.008,0.018,0.018,,10031409.0,55003.13778,4.14608,D,13.553,5905,4.249,0.126,0.073,0.93777,,,0.12777,-0.13341,-0.40404,0.99818,0.42549565179916937,1.0242214532871972
1784,1784,10091257,3.404,sp,3.392,1.3,3.336,3.396,,,0.131,0.101,,,,10091257.0,55002.39178,3.40112,D,12.533,5630,4.46,0.063,0.002,0.96107,,,0.10788,-0.32258,-0.52585,0.99476,0.6169084850283711,1.0035377358490567
1787,1787,10095512,6.017,sp,6.539,0.28,6.845,6.893,,,0.152,0.098,,,,10095512.0,55002.00806,6.00838,D,13.053,5795,4.395,0.09,0.04,0.6461,,,0.12354,0.03866,0.06693,0.99261,0.07729308183789801,0.9201712800122344
1789,1789,10129482,0.846,sp,0.838,0.909,0.845,0.846,,,0.353,0.148,,,,10129482.0,55002.42861,0.84613,D,15.994,4558,4.626,0.087,0.016,0.72152,,,0.31922,0.07214,0.0031,0.98149,0.07220657587782431,1.009546539379475
1793,1793,10155080,3.861,sp,3.944,0.804,3.932,4.005,,,0.07,0.075,,,,10155080.0,55003.37307,3.85901,D,13.017,5830,4.452,0.082,0.034,0.52401,,,0.13218,-0.27418,0.44385,0.98382,0.5217063301321923,0.9789553752535498
1796,1796,10158418,5.007,sp,4.536,1.328,4.488,4.549,,,0.33,0.122,,,,10158418.0,54968.02368,5.00702,D,13.592,5699,4.559,0.088,0.026,0.83257,,,0.02537,-0.04562,0.43084,0.99768,0.4332485314458665,1.1038359788359788
1798,1798,10189523,1.014,sp,1.022,1.331,1.01,1.016,,,0.17,0.117,,,,10189523.0,55002.9443,1.01446,D,15.856,5002,4.538,0.108,0.006,0.4894,,,0.31724,-0.32705,0.45099,0.9951,0.557093962092572,0.9921722113502935
1802,1802,10198109,17.919,sp,21.067,0.386,,,,,,,,,,10198109.0,54979.39935,17.911,D,13.776,5592,4.026,0.121,0.048,0.80107,,,0.06127,0.49463,0.01526,1.00227,0.49486533976426356,0.8505719846204965
1805,1805,10215422,24.847,sp,25.338,0.816,24.83,27.054,,,0.243,0.084,,,,10215422.0,54987.1277,24.84714,D,14.608,5427,4.549,0.107,0.086,0.78218,,,0.05785,0.4709,0.04775,0.99944,0.47331477105621794,0.9806219906859263
1815,1815,10232123,1.344,sp,1.349,1.104,1.341,1.344,,,0.186,0.265,,,,10232123.0,55002.52797,1.34312,D,13.056,,,,0.038,0.86049,,,0.25061,-0.55706,-0.53043,0.99686,0.769202072605112,0.9962935507783545
1819,1819,10257903,0.859,sp,0.858,0.973,0.85,0.855,0.858,0.862,0.05,0.022,0.055,0.026,,10257903.0,54965.03125,0.85845,D,15.482,5761,4.357,0.132,0.063,0.38323,,,0.61417,-0.00923,0.03025,0.9877,0.031626814572447856,1.0011655011655012
1824,1824,10264202,1.035,sp,1.022,0.585,1.032,1.036,,,0.061,0.079,0.02,0.02,,10264202.0,55002.81072,1.03483,D,15.777,5207,4.654,0.113,0.003,0.7911,,,0.3015,0.01597,0.00522,0.97341,0.01680146719783722,1.0127201565557729
1827,1827,10268809,24.709,sp,20.474,0.465,,,,,,,,,,10268809.0,54972.0068,24.71564,D,13.737,5787,4.423,0.098,0.026,0.81305,,,0.03234,0.34694,-0.52467,1.00506,0.6290039526902831,1.2068477092898309
1830,1830,10274244,13.684,sp,20.209,1.093,19.454,21.802,,,0.034,0.057,,,,10274244.0,54968.2143,13.68338,D,11.544,5206,4.533,0.032,0.0,0.75487,,,0.0689,0.36363,0.02012,0.99265,0.3641862041593558,0.6771240536394676
1840,1840,10292465,1.353,sp,1.349,1.22,1.332,1.342,1.347,1.356,0.034,0.083,0.092,0.083,,10292465.0,55002.84189,1.354,D,14.956,5258,4.502,0.121,0.137,0.90975,,,0.26515,0.18708,0.01696,0.98103,0.18784719321831775,1.0029651593773166
1841,1841,10294608,3.709,sp,3.699,1.344,3.656,3.669,,,0.178,0.321,,,,10294608.0,55000.72709,3.7092,D,13.344,5603,4.419,0.09,0.17,0.50214,,,0.18804,-0.17528,0.06367,0.99777,0.18648578310423558,1.0027034333603677
1847,1847,10330495,18.06,sp,21.966,1.124,21.144,23.466,,,0.079,0.064,,,,10330495.0,54971.61426,18.06455,D,14.724,5132,4.43,0.098,0.134,0.96111,,,0.14223,-0.07153,0.39676,0.99152,0.4031563449829359,0.8221797323135754
1855,1855,10351767,0.635,sp,0.633,0.393,,,,,,,,,,10351767.0,54969.567,0.63508,D,14.539,6113,4.528,0.137,0.127,0.49917,,,0.47641,-0.15629,0.14729,0.96442,0.2147577896142536,1.0031595576619274
1862,1862,10385682,6.207,sp,6.212,0.585,6.072,6.12,6.365,6.407,0.034,0.021,0.11,0.047,,10385682.0,55003.12319,6.21303,D,15.001,5805,4.434,0.116,0.159,0.97608,,,0.15973,0.03397,-0.02663,0.99712,0.043163848299242275,0.9991951062459755
1873,1873,10422852,1.399,sp,1.41,0.577,1.377,1.387,1.411,1.429,0.038,0.049,0.046,0.059,,10422852.0,54967.96478,1.39904,D,14.855,5877,4.382,0.16,0.466,0.72196,,,0.42737,-0.22688,-0.10306,0.95018,0.24919048537213453,0.9921985815602837
1875,1875,10454401,12.181,sp,12.281,1.055,12.012,12.554,,,0.07,0.113,,,,10454401.0,54996.70843,12.18031,D,15.386,5568,4.936,0.091,0.008,0.93457,,,0.0719,0.1356,0.08942,0.9617,0.1624293581837963,0.9918573406074422
1884,1884,10483644,5.111,sp,5.824,1.074,,,,,,,,,,10483644.0,54966.3154,5.11127,D,13.985,5781,4.544,0.104,0.007,0.4676,,,0.06907,-0.19005,0.47622,0.99592,0.512742129047341,0.8775755494505494
1892,1892,10490960,5.682,sp,5.435,0.32,5.476,5.613,,,0.052,0.112,,,,10490960.0,54966.63586,5.68263,D,14.3,5787,4.286,0.144,0.133,0.83444,,,0.12557,-0.12272,0.09726,0.9973,0.15658769428023392,1.0454461821527141
1903,1903,10547685,2.777,sp,2.738,1.224,2.719,2.731,2.796,,0.31,0.098,0.124,,,10547685.0,54966.1753,2.77822,D,12.309,6165,4.157,0.097,0.007,0.72914,,,0.09016,-0.49795,0.48756,0.97987,0.6968995308507533,1.0142439737034332
1905,1905,10551346,1.428,sp,1.451,1.332,1.422,1.428,1.479,1.482,0.156,0.058,0.179,0.087,,10551346.0,54999.88678,1.42808,D,13.731,5891,4.981,0.066,0.084,0.53243,,,0.48264,0.2822,-0.314,0.98311,0.4221763138784553,0.9841488628532046
1917,1917,10599397,0.937,sp,0.94,1.364,0.935,0.936,,,0.421,0.253,,,,10599397.0,54974.2916,1.87458,D,14.546,5278,4.518,0.097,0.039,1.02429,,,0.46943,-0.25046,-0.08131,0.99555,0.2633277951527335,0.996808510638298
1918,1918,10601549,1.464,sp,1.451,1.32,1.44,1.442,,,0.343,0.123,,,,10601549.0,54995.08141,1.46369,D,13.318,5259,4.368,0.076,0.182,0.52319,,,0.26435,-0.01604,0.38173,0.97579,0.3820668455911871,1.008959338387319
1921,1921,10613718,1.176,sp,13.078,0.993,12.482,13.327,,,0.104,0.25,,,,10613718.0,54966.8214,1.17611,D,12.735,5080,4.342,0.059,0.033,0.44874,,,0.20586,-0.20689,0.49821,0.99623,0.5394596149852183,0.08992200642300045
1931,1931,10659313,15.249,sp,6.723,0.908,6.58,6.845,7.173,,0.041,0.015,0.137,,,10659313.0,54961.4099,15.25405,D,13.593,6167,4.311,0.113,0.012,0.86629,,,0.07831,-0.41205,0.25803,0.99743,0.4861735116190515,2.2681838464970996
1939,1939,10710755,4.817,sp,4.884,1.542,,,,,,,,,,10710755.0,54995.66558,4.81681,D,14.843,5564,4.484,0.104,0.05,0.8281,,,0.13671,-0.29926,-0.45895,0.99301,0.5478974813776752,0.9862817362817362
1941,1941,10711646,0.738,sp,0.736,1.104,0.737,0.738,,,0.185,0.189,,,,10711646.0,54997.14889,0.73761,D,15.787,4339,4.547,0.073,0.356,0.88398,,,0.35736,-0.20983,0.40226,0.99751,0.4536978471405832,1.002717391304348
1951,1951,10735988,1.927,sp,1.921,1.358,,,,,,,,,,10735988.0,54965.5732,1.9271,D,15.706,5016,4.521,0.124,0.252,1.04159,,,0.04089,-0.62569,0.2773,1.00578,0.6843853199039266,1.0031233732431026
1954,1954,10743597,81.195,sp,24.459,0.377,22.618,26.846,,,0.041,0.046,,,,10743597.0,54969.9204,0.81627,D,15.488,5394,4.542,0.138,0.44,0.63863,,,0.47389,-0.26359,0.00234,0.99639,0.2636003863805969,3.319636943456396
1958,1958,10753734,19.407,sp,8.889,0.685,8.654,8.788,9.014,9.326,0.129,0.042,0.121,0.097,,10753734.0,54982.8056,19.3922,D,13.564,5446,4.659,0.071,0.088,0.85292,,,0.05571,0.26605,0.48564,1.00364,0.5537407444824699,2.1832602092473845
1959,1959,10794242,7.144,sp,6.968,1.483,,,,,,,,,,10794242.0,54970.7948,7.14909,D,14.17,5459,4.389,0.102,0.04,0.8337,,,0.11859,0.03589,0.40195,0.997,0.40354912290822786,1.0252583237657864
1968,1968,10816107,2.162,sp,2.146,1.044,2.116,2.121,2.16,2.191,0.188,0.248,0.06,0.032,,10816107.0,54986.41723,2.16114,D,13.945,5646,4.173,0.136,0.079,0.77392,,,0.30292,-0.16695,0.3911,0.95063,0.425242886477834,1.0074557315936625
